iter	RMSE
0	13.44433817
1	13.42325584
2	13.38344784
3	13.35961061
4	13.304228
5	13.29161823
6	13.2405782
7	13.18721609
8	13.16745022
9	13.09991572
10	13.04956851
11	12.99072928
12	12.96154307
13	12.918967
14	12.85821069
15	12.81979217
16	12.79376904
17	12.72124504
18	12.67071677
19	12.64304185
20	12.58544665
21	12.5153617
22	12.45667631
23	12.44360727
24	12.41506595
25	12.39387876
26	12.35228835
27	12.31633434
28	12.27612039
29	12.24056409
30	12.20802861
31	12.16886294
32	12.14741289
33	12.10587053
34	12.06047154
35	12.0129319
36	11.95852177
37	11.89642927
38	11.88024808
39	11.83919202
40	11.78742352
41	11.75014328
42	11.7075308
43	11.69537294
44	11.64644895
45	11.61825371
46	11.56062112
47	11.53258264
48	11.49881469
49	11.47190424
50	11.45589968
51	11.38597018
52	11.34039385
53	11.29341743
54	11.27530014
55	11.27043906
56	11.2487602
57	11.20536896
58	11.16953118
59	11.14283873
60	11.12215845
61	11.0806517
62	11.05630121
63	11.01397572
64	10.98386632
65	10.97759034
66	10.91745918
67	10.88965967
68	10.88244206
69	10.83465523
70	10.82467555
71	10.7782288
72	10.74526137
73	10.73458031
74	10.7188637
75	10.69887299
76	10.66621311
77	10.64103326
78	10.60728514
79	10.59250407
80	10.56072723
81	10.52293681
82	10.49548994
83	10.46226327
84	10.43326951
85	10.40966292
86	10.39472604
87	10.34772435
88	10.31621842
89	10.30148676
90	10.26177397
91	10.24409174
92	10.23960049
93	10.2086938
94	10.19517325
95	10.16435537
96	10.15626152
97	10.12774364
98	10.09424053
99	10.05257932
100	10.04602599
101	10.00028033
102	9.967317835
103	9.943113221
104	9.911747182
105	9.881821168
106	9.873081671
107	9.841627717
108	9.81388599
109	9.781937956
110	9.746923686
111	9.726757064
112	9.693474009
113	9.666421215
114	9.651543861
115	9.62072121
116	9.608655248
117	9.565851581
118	9.543420264
119	9.522100988
120	9.487940501
121	9.480668047
122	9.45670603
123	9.422341743
124	9.401823491
125	9.384614512
126	9.363169187
127	9.33798811
128	9.324885271
129	9.297127339
130	9.265818209
131	9.238007198
132	9.203592845
133	9.185825288
134	9.164072799
135	9.141710901
136	9.123523981
137	9.096985217
138	9.07215211
139	9.055372332
140	9.029266107
141	8.999953189
142	8.988954606
143	8.964905609
144	8.947164166
145	8.921015041
146	8.898483802
147	8.881825242
148	8.857883142
149	8.831528272
150	8.823716833
151	8.791498392
152	8.788637684
153	8.77092392
154	8.74408482
155	8.723595574
156	8.709964679
157	8.694373468
158	8.670225377
159	8.640055847
160	8.628292184
161	8.601263995
162	8.583122696
163	8.55109347
164	8.530315878
165	8.512537563
166	8.49258568
167	8.465561781
168	8.441790546
169	8.420566696
170	8.383746199
171	8.375003975
172	8.353704837
173	8.341333242
174	8.327418636
175	8.308261543
176	8.298671132
177	8.292855109
178	8.271257203
179	8.258519836
180	8.249265758
181	8.22577382
182	8.209486361
